GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
FarToCel_Maven_Andrii,org.example,FarToCel,3,32,0,0,1,4,1,4,1,4
FarToCel_Maven_Andrii,org.example,App,88,0,0,0,6,0,2,0,2,0
